Triple rate, 55 free pulls + 7500 embers
Percentile |  Count | Result
    0.2849 | 180077 | 3* +100 shards
    0.4649 | 178575 | 4* +015 shards
    0.6435 | 145594 | 4* +040 shards
    0.7891 | 100193 | 4* +065 shards
    0.8893 |  59019 | 4* +090 shards
    0.9483 |  29979 | 4* +115 shards
    0.9783 |  13374 | 4* +140 shards
    0.9917 |   5459 | 5* +015 shards
    0.9971 |   1971 | 5* +040 shards
    0.9991 |    658 | 5* +065 shards
    0.9998 |    181 | 5* +090 shards
    0.9999 |     38 | 5* +115 shards
    1.0000 |     11 | 5* +140 shards
    1.0000 |      1 | 5* +165 shards
    1.0000 |      2 | 5* +190 shards
Triple rate, 55 free pulls + 7500 embers
Percentile |  Count | Result
    0.0000 |  47724 | 1* +15 shards
    0.0477 | 175249 | 2* +05 shards
    0.2230 | 281532 | 2* +30 shards
    0.5045 | 258059 | 2* +55 shards
    0.7626 | 152567 | 3* +000 shards
    0.9151 |  61461 | 3* +025 shards
    0.9766 |  18248 | 3* +050 shards
    0.9948 |   4237 | 3* +075 shards
    0.9991 |    788 | 3* +100 shards
    0.9999 |    120 | 4* +015 shards
    1.0000 |     15 | 4* +040 shards

One cycle, 5700 embers
Percentile |  Count | Result
    0.0000 | 375184 | 1* +10 shards
    0.3752 | 370665 | 2* +00 shards
    0.7458 | 180155 | 2* +25 shards
    0.9260 |  57529 | 2* +50 shards
    0.9835 |  13478 | 2* +75 shards
    0.9970 |   2503 | 3* +020 shards
    0.9995 |    416 | 3* +045 shards
    0.9999 |     66 | 3* +070 shards
    1.0000 |      4 | 3* +095 shards

Double pick, 20 free pulls + 6000 embers + 1000 crystals
Percentile |  Count | Result
    0.0000 | 364885 | 2* +00 shards
    0.3649 | 153415 | 2* +25 shards
    0.5183 |  42088 | 2* +50 shards
    0.5604 |   8523 | 2* +75 shards
    0.5689 |   1352 | 3* +020 shards
    0.5703 |    193 | 3* +045 shards
    0.5705 |     20 | 3* +070 shards
    0.5705 |      3 | 3* +095 shards
    0.5705 | 429521 | 50 shards

UR/SR, 6000 embers
Percentile |  Count | Result
    0.0000 | 608340 | 0 shards
    0.6083 | 321847 | 0* +00 shards
    0.9302 |  63931 | 1* +10 shards
    0.9941 |   5685 | 2* +00 shards
    0.9998 |    197 | 2* +25 shards

Swap, 30 free pulls + 4500 embers
Percentile |  Count | Result
    0.0000 | 970782 | 0 shards
    0.9708 |  28771 | 0* +00 shards
    0.9996 |    440 | 1* +10 shards
    1.0000 |      7 | 2* +00 shards

Galaxy, 10 free pulls + ~17780 embers + ~72 crystals
Percentile |  Count | Result
    0.0000 | 198967 | 0 shards
    0.1990 | 375077 | 0* +00 shards
    0.5740 | 280755 | 1* +10 shards
    0.8548 | 112049 | 2* +00 shards
    0.9668 |  27760 | 2* +25 shards
    0.9946 |   4698 | 2* +50 shards
    0.9993 |    609 | 2* +75 shards
    0.9999 |     78 | 3* +020 shards
    1.0000 |      6 | 3* +045 shards
    1.0000 |      1 | 3* +070 shards

Combined results, 47780 embers, 4672 crystals
Cycle pool finished twice
Percentile |  Count | Result
    0.0000 |    916 | 3* +000 shards
    0.0009 |   7264 | 3* +025 shards
    0.0082 |  27346 | 3* +050 shards
    0.0355 |  67489 | 3* +075 shards
    0.1030 | 118171 | 3* +100 shards
    0.2212 | 160374 | 4* +015 shards
    0.3816 | 174272 | 4* +040 shards
    0.5558 | 158254 | 4* +065 shards
    0.7141 | 120629 | 4* +090 shards
    0.8347 |  79772 | 4* +115 shards
    0.9145 |  45037 | 4* +140 shards
    0.9595 |  23264 | 5* +015 shards
    0.9828 |  10408 | 5* +040 shards
    0.9932 |   4343 | 5* +065 shards
    0.9975 |   1625 | 5* +090 shards
    0.9992 |    576 | 5* +115 shards
    0.9997 |    206 | 5* +140 shards
    0.9999 |     38 | 5* +165 shards
    1.0000 |     11 | 5* +190 shards
    1.0000 |      5 | 5* +215 shards
Triple rate, 55 free pulls + 7500 embers
Pulling to 150 for 4500 crystals
Percentile |  Count | Result
    0.0000 |  26234 | 2* +30 shards
    0.0262 | 114664 | 2* +55 shards
    0.1409 | 222656 | 3* +000 shards
    0.3636 | 256796 | 3* +025 shards
    0.6203 | 198479 | 3* +050 shards
    0.8188 | 111289 | 3* +075 shards
    0.9301 |  47607 | 3* +100 shards
    0.9777 |  16346 | 4* +015 shards
    0.9941 |   4561 | 4* +040 shards
    0.9986 |   1096 | 4* +065 shards
    0.9997 |    224 | 4* +090 shards
    1.0000 |     41 | 4* +115 shards
    1.0000 |      6 | 4* +140 shards
    1.0000 |      1 | 5* +015 shards

One cycle, 5700 embers
Percentile |  Count | Result
    0.0000 | 612164 | 0* +00 shards
    0.6122 | 302484 | 1* +10 shards
    0.9146 |  72474 | 2* +00 shards
    0.9871 |  11501 | 2* +25 shards
    0.9986 |   1259 | 2* +50 shards
    0.9999 |    106 | 2* +75 shards
    1.0000 |     12 | 3* +020 shards

Double pick, 20 free pulls + 6000 embers + 1000 crystals
Percentile |  Count | Result
    0.0000 | 365170 | 2* +00 shards
    0.3652 | 153048 | 2* +25 shards
    0.5182 |  42034 | 2* +50 shards
    0.5603 |   8660 | 2* +75 shards
    0.5689 |   1375 | 3* +020 shards
    0.5703 |    178 | 3* +045 shards
    0.5705 |     18 | 3* +070 shards
    0.5705 |      1 | 3* +095 shards
    0.5705 | 429516 | 50 shards

UR/SR, 6000 embers
Percentile |  Count | Result
    0.0000 | 609439 | 0 shards
    0.6094 | 321110 | 0* +00 shards
    0.9305 |  63769 | 1* +10 shards
    0.9943 |   5501 | 2* +00 shards
    0.9998 |    181 | 2* +25 shards

Swap, 30 free pulls + 4500 embers
Percentile |  Count | Result
    0.0000 | 970499 | 0 shards
    0.9705 |  29100 | 0* +00 shards
    0.9996 |    398 | 1* +10 shards
    1.0000 |      3 | 2* +00 shards

Galaxy, 10 free pulls + ~17780 embers + ~72 crystals
Percentile |  Count | Result
    0.0000 | 199683 | 0 shards
    0.1997 | 374962 | 0* +00 shards
    0.5746 | 280621 | 1* +10 shards
    0.8553 | 111902 | 2* +00 shards
    0.9672 |  27539 | 2* +25 shards
    0.9947 |   4659 | 2* +50 shards
    0.9994 |    561 | 2* +75 shards
    0.9999 |     69 | 3* +020 shards
    1.0000 |      4 | 3* +045 shards

Combined results, 47480 embers, 5572 crystals
Triple rate pulled 150 times
Percentile |  Count | Result
    0.0000 |    873 | 3* +025 shards
    0.0009 |   6764 | 3* +050 shards
    0.0076 |  25822 | 3* +075 shards
    0.0335 |  64612 | 3* +100 shards
    0.0981 | 114521 | 4* +015 shards
    0.2126 | 157853 | 4* +040 shards
    0.3704 | 174492 | 4* +065 shards
    0.5449 | 159568 | 4* +090 shards
    0.7045 | 123149 | 4* +115 shards
    0.8277 |  82074 | 4* +140 shards
    0.9097 |  47444 | 5* +015 shards
    0.9572 |  24281 | 5* +040 shards
    0.9815 |  11264 | 5* +065 shards
    0.9927 |   4680 | 5* +090 shards
    0.9974 |   1724 | 5* +115 shards
    0.9991 |    625 | 5* +140 shards
    0.9997 |    171 | 5* +165 shards
    0.9999 |     65 | 5* +190 shards
    1.0000 |     15 | 5* +215 shards
    1.0000 |      3 | 5* +240 shards
Triple rate, 55 free pulls + 7500 embers
Pulling to 150 for 4500 crystals
Percentile |  Count | Result
    0.0000 |  26282 | 2* +30 shards
    0.0263 | 115423 | 2* +55 shards
    0.1417 | 222674 | 3* +000 shards
    0.3644 | 256854 | 3* +025 shards
    0.6212 | 198522 | 3* +050 shards
    0.8198 | 110757 | 3* +075 shards
    0.9305 |  47335 | 3* +100 shards
    0.9778 |  16171 | 4* +015 shards
    0.9940 |   4578 | 4* +040 shards
    0.9986 |   1124 | 4* +065 shards
    0.9997 |    234 | 4* +090 shards
    1.0000 |     37 | 4* +115 shards
    1.0000 |      9 | 4* +140 shards

One cycle, 5700 embers
Percentile |  Count | Result
    0.0000 | 375916 | 1* +10 shards
    0.3759 | 369947 | 2* +00 shards
    0.7459 | 179674 | 2* +25 shards
    0.9255 |  57931 | 2* +50 shards
    0.9835 |  13450 | 2* +75 shards
    0.9969 |   2604 | 3* +020 shards
    0.9995 |    422 | 3* +045 shards
    0.9999 |     51 | 3* +070 shards
    1.0000 |      5 | 3* +095 shards

Double pick, 20 free pulls + 6000 embers + 1000 crystals
Percentile |  Count | Result
    0.0000 | 365811 | 2* +00 shards
    0.3658 | 152958 | 2* +25 shards
    0.5188 |  42174 | 2* +50 shards
    0.5609 |   8482 | 2* +75 shards
    0.5694 |   1399 | 3* +020 shards
    0.5708 |    169 | 3* +045 shards
    0.5710 |     16 | 3* +070 shards
    0.5710 | 428991 | 50 shards

UR/SR, 6000 embers
Percentile |  Count | Result
    0.0000 | 608628 | 0 shards
    0.6086 | 321187 | 0* +00 shards
    0.9298 |  64375 | 1* +10 shards
    0.9942 |   5621 | 2* +00 shards
    0.9998 |    189 | 2* +25 shards

Swap, 30 free pulls + 4500 embers
Percentile |  Count | Result
    0.0000 | 970795 | 0 shards
    0.9708 |  28814 | 0* +00 shards
    0.9996 |    386 | 1* +10 shards
    1.0000 |      5 | 2* +00 shards

Galaxy, 10 free pulls + ~17780 embers + ~72 crystals
Percentile |  Count | Result
    0.0000 | 198951 | 0 shards
    0.1990 | 374400 | 0* +00 shards
    0.5734 | 281676 | 1* +10 shards
    0.8550 | 112123 | 2* +00 shards
    0.9671 |  27421 | 2* +25 shards
    0.9946 |   4781 | 2* +50 shards
    0.9994 |    568 | 2* +75 shards
    0.9999 |     74 | 3* +020 shards
    1.0000 |      5 | 3* +045 shards
    1.0000 |      1 | 3* +070 shards

Combined results, 47780 embers, 9172 crystals
Triple rate pulled 150 times
Cycle pool finished twice
Percentile |  Count | Result
    0.0000 |    516 | 3* +050 shards
    0.0005 |   4313 | 3* +075 shards
    0.0048 |  17866 | 3* +100 shards
    0.0227 |  47753 | 4* +015 shards
    0.0704 |  92282 | 4* +040 shards
    0.1627 | 136776 | 4* +065 shards
    0.2995 | 163437 | 4* +090 shards
    0.4629 | 162989 | 4* +115 shards
    0.6259 | 138153 | 4* +140 shards
    0.7641 | 101094 | 5* +015 shards
    0.8652 |  64945 | 5* +040 shards
    0.9301 |  36593 | 5* +065 shards
    0.9667 |  18675 | 5* +090 shards
    0.9854 |   8726 | 5* +115 shards
    0.9941 |   3717 | 5* +140 shards
    0.9978 |   1450 | 5* +165 shards
    0.9993 |    482 | 5* +190 shards
    0.9998 |    171 | 5* +215 shards
    0.9999 |     45 | 5* +240 shards
    1.0000 |     11 | 5* +265 shards
    1.0000 |      5 | 5* +290 shards
    1.0000 |      1 | 5* +315 shards
