You meet a wandering bard. Do you go have a chat?
Chat,You learn about a lot of recent happenings in these parts from the bard. (Max Soul Pts +2)
Jump in line behind the last goblin,You follow them to a cave and find treasure. (Gold +1000)
Wait where you are for them to pass,You watch the goblins swagger off into the distance. (Nothing happens)

A girl with her face covered by a hat sobbing that she's lost her way home. She asks you for help. Do you help her?
Help the girl find her way home,You're taken to a gingerbread house. You remember a story about that and hurry out of there. (Nothing happens)
Wait with her till family comes,"At dusk, the little girl suddenly disappears. You ask the residents nearby, but they all say they've never seen her. (Nothing happens)"
Take her to the police,The girl refuses to go to the police and runs away quickly. (Nothing happens)

A young man in priest's clothes is stuck under a tree trunk. Do you help him?
Help,The priest gives you a blessing from above after being saved. (Hit Rate +5%)
Interrogate,"The priest can barely breathe from the weight and can't answer. You save him, and he gives you a bottle of holy water as a thank-you. (Item received: Holy Water)"
Don't help,The priest angrily summons a demon to haunt you. (Hit Rate -2%)

A glittering chest flashes with a dazzling light up ahead. Do you go check it out?
Go open it,"You get some gold, but you also get poisoned by a miasma in the chest. (Current HP -3)"
Give it a knock,"You tentatively knock on the chest, causing a miasma inside to leak out. When the miasma disperses, you open the chest and get gold. (Current HP -5, Gold +500)"
It's not so simple,"You don't think things are as simple as they seem, and there's no such thing as a free lunch. (Nothing happens)"

There's an unusual spot on the wall that looks like a stone switch. Do you go check it out?
Go pull it,"You pull the stone switch and get hurt by a falling stone, but you also discover a secret room filled with gold. (Gold +1000)"
Give it a little tug,"You move the switch from a distance and see a stone crash to the ground, smashing open the ceiling of a secret room containing gold. (Gold +1000)"
Ignore it,You pretend you didn't see a thing. (Nothing happens)

You find a masked robber on the ground who has lost consciousness. You decide to...
Go rescue them,"You go to the rescue, but the masked robber's associates jump out from their hiding spots and rough you up badly. (Current HP -10)"
Rob him blind,"You use a tree branch to fish up a bag of money on the ground, then you safely leave. (Gold +200)"
Hit him while he's down,You throw a big stone at the thief and then leave unscathed. (Nothing happens)

The road forks in three directions. Which do you choose?
The left path,"You take the left path and encounter a monster. You expend a lot of energy, but you defeat the monster and get gold. (Gold +500)"
The middle path,You proceed down the middle fork in the road and uneventfully arrive at the next area. (Nothing happens)
The right path,"You take the path on the right and find gold at its end, then follow the directions on the wall to get to the next area. (Gold +300)"

The dust on the ground suddenly transforms into a witch. She holds to apples and says that one is poisoned. You're very hungry though. You choose...
The left apple,You eat the apple on the left and feel like your wounds recover some. (Current HP +10)
The right apple,"You eat the apple on the right and feel like all your abilities have been heightened. (Current HP +10, ATK +2)"
Don't accept handouts,"You refuse the witch, who then transforms into countless bats that bite you on the neck. You feel yourself become weak. (Hit Rate -2%)"

A gold frog squats on an empty altar. There are words written in blood on the ground saying you'll get gold if you defeat it. You decide to...
Give it a try,You hit the gold frog and get a bit of gold. (Gold +200)
Viciously attack,"You hit the gold frog ten times, and the frog spits out a large amount of gold but also an ominous black coin, which makes you feel unlucky. (Crit Rate -2%)"
Take the frog,"You make off with the gold frog, but the frog eats some of your gold and then disappears, reappearing in its original spot. (Gold -300)"

There's a dark fog up ahead with countless shadows flitting back and forth. How do you react?
Pass straight through,"You pass right through the darkness and get scraped by a fast-moving shadow, however you feel like you've become more agile. (Dodge +3%)"
Search around,"You find a magic circle nearby, and after activating it, a black fog wails painfully in the darkness and then disappears along with the darkness. (Nothing happens)"
Safety first,"Exercising caution, you circumvent the shadows. (Nothing happens)"

A veiled woman appears out of thin air and asks you if you think she's pretty. How do you reply?
Of course you're pretty,"You say she's pretty, and the woman takes off her veil to reveal a warm smile. She gives you a kiss, and you feel your luck go up. (Crit Rate+2%)"
Not very pretty,"You express your negative opinion, and the woman tears off her mask, revealing a hideous glowering face. She attacks and curses you, and you feel your luck going down. (Dodge -2%)"
Refuse to answer,"You stare in silence with the woman for a while, then she shakes her head and walks by, disappearing into thin air. (Nothing happens)"

Out of the barren land appears a lush and verdant tree with a golden apple hanging from it. Do you go to it?
Go up and pick it,"You go up and pluck it, and you're bitten by a large black snake hiding in the top of the tree. (Current HP -2)"
Throw a rock to knock it down,"You knock down the golden apple with a rock and put it in your sack. Meanwhile, you awaken a large black snake hidden in the treetop that slithers down and bites you. (Gold +200, Current HP -2)"
Must be seeing things,You don't believe it's real and go to leave when the golden apple falls from the tree and rolls beside your foot. (Gold +1000)

The path up ahead doesn't look very stable. There's a risk of it collapsing. You decide to...
Go forward to pass,You go forward over the path and pass through safely. (Nothing happens)
Take a tentative step,"You test the road's condition, and it collapses. The sound draws a crowd of nearby monsters. (Current HP -5)"
Go around,You take the long way around and run into a pack of monsters elsewhere. (Current HP -3)

"There's an incomplete magic circle on the ground, and beside it is an ancient tome documenting how to complete it. However, you need to use your own blood. You decide to..."
Complete the magic circle,"You complete the magic circle, and an ancient demon spirit is summoned forth. It bows before you, and you feel filled with unlimited strength, but you also become more rageful. (Melee Phys ATK +3)"
Complete a second magic circle,"After drawing the second magic circle, it summons an ancient angel spirit that protects you. You feel a surge of inexhaustible power coursing through you. (Hit Rate +2%)"
Keep a safe distance,You're afraid of such mysterious power and want no part in it. (Nothing happens)

A colorful and oddly-shaped chest attracts your attention. Do you go have a look?
Go open it,"You go up and open the chest, and you're bitten by a chest monster pretending to be treasure. (Current HP -4)"
Take a tentative step,"You poke at the chest with a weapon and discover it's actually a chest monster. Good thing it can't see, so it doesn't discover you. (Nothing happens)"
Be afraid,You think it might be dangerous and decide to leave. (Nothing happens)

"You just barely hear a beautiful, ethereal voice singing that tugs at your heartstrings. You think..."
Go get to the bottom of it,You're drawn by the singing and fall into a pit of bones. You're attacked by a demon spider hiding overhead and barely manage to escape the pit in the scuffle. (Current HP -2)
Restrain yourself,"You observe from where you are and hear a strange hissing sound amidst the singing. You look up and see a demon spider with a human's face, which you defeat. You get treasure. (Gold +500)"
Keep your distance,"You think it must be a trick, so you decide to leave this sketchy place. (Nothing happens)"

The legendary labyrinth merchant appears. Do you respond to him?
Treat yourself,"You spend gold and feel like your wounds are recovering. Your abilities get a temporary, comprehensive boost. (Current HP +5, ATK +2)"
Rob the merchant,"You go to rob the merchant, and he becomes enraged and transforms into a massive beast and beats you to an inch of your life. (Current HP -20)"
You have no money,"You leave the merchant, and he disappears into the darkness with a laugh (Nothing happens)"

A low growl comes from up ahead that makes the ground and walls shake. You decide to...
Go see,You go have a look and run smack into a massive Fallen Angel. You take a licking but escape with your life. (Current HP -2)
Take a tentative look,"You observe the surroundings and see another small path that goes around the snarling, massive Fallen Angel. Behind it, you discover a treasure chest. (Gold +200)"
Run for your life,"Fearing danger, you take the long way around and run smack into a massive Fallen Angel. (Current HP -5)"

A wounded Slimer is lying helpless in the middle of the road. Do you go check it out?
Slay it,"You easily dispatch this Slimer, but then you're attacked by a mob of them that smell their comrade's juices. You take minor injuries, but you get nothing for your troubles. (Current HP -1)"
Save it,"You rescue the injured slimer, which leads you around a giant monster to a place with gold. (Gold +200)"
Go around it,"You go around the injured slimer and run into the big monster that attacked the slimer. After a hard-fought battle, you get some gold. (Current HP -5, Gold +200)"

There's a demon monkey up ahead harassing an adventurer. Do you go help?
Rush to help,"You go to the rescue, but your weapon is useless in the cramped cave and are given a sound thrashing by the monkey. (Current HP -4)"
Don't be rash,"After observing from the sideline for a bit, you choose to attack with a short-range weapon. You kill the demon monkey and rescue the adventurer. (Nothing happens)"
Take another path,"You throw some food far away, distracting the demon monkey and rescuing the adventurer. (Gold +300)"

A clamor of footsteps and shaking comes from behind you. You decide to...
Run away quick,"You're totally flustered and run into a trap, taking heavy injury. (Current HP -10)"
Hide for a while,"You hide and watch, discovering that it's a gang of looters that would kill you without blinking an eye. Luckily, you escape death. (Nothing happens)"
Go check it out,You take a sneak peek behind you and see that it's a gang of murderous bandits. You collect the loot they left behind as they run away. (Item received: Elite Hunter)

A dilapidated and eerie cabin can be faintly seen in the darkness. Do you go explore?
Go in and see,"You go into the cabin only to discover you've entered a monster's belly. You slash out of its abdomen with your blade and take corrosion damage, weakening you. (Current Armor -5)"
Look on from afar,You observe from afar and discover this cabin is actually a hallucination generated by a monster. (Nothing happens)
Definitely don't go in,"You prepare to go around and are chased by the monster disguised as a house. You manage to fend off the attack, but you get injured. (Current HP -5)"

"Countless red, flashing eyes appear in the darkness ahead. Do you go have a look?"
Go see,You go to see and discover countless highly-valuable red crystal gems inlaid in the wall. (Gold +2000)
Safety first,"You get close and watch and discover some people go in. When they leave, you head over and find there is nothing there. (Nothing happens)"
Start to leave,"Fearing danger, you get ready to leave when you encounter a bandit. After a hard-fought battle, you're injured but get some loot. (Current HP -5, Gold +300)"

